SYMBOL|COMPANY|INDUSTRY|SERIES|INDEX|SEGMENT
ONGC|Oil & Natural Gas Corporation Limited|OIL EXPLORATION/PRODUCTION|EQ|NIFTY 50|BROAD MARKET INDICES
RELIANCE|Reliance Industries Limited|REFINERIES|EQ|NIFTY 50|BROAD MARKET INDICES
SBIN|State Bank of India|BANKS|EQ|NIFTY 50|BROAD MARKET INDICES
BRITANNIA|Britannia Industries Limited|FOOD AND FOOD PROCESSING|EQ|NIFTY 50|BROAD MARKET INDICES
CIPLA|Cipla Limited|PHARMACEUTICALS|EQ|NIFTY 50|BROAD MARKET INDICES
HINDUNILVR|Hindustan Unilever Limited|DIVERSIFIED|EQ|NIFTY 50|BROAD MARKET INDICES
BAJAJ-AUTO|Bajaj Auto Limited|AUTOMOBILES - 2 AND 3 WHEELERS|EQ|NIFTY 50|BROAD MARKET INDICES
NTPC|NTPC Limited|POWER|EQ|NIFTY 50|BROAD MARKET INDICES
APOLLOHOSP|Apollo Hospitals Enterprise Limited|MISCELLANEOUS|EQ|NIFTY 50|BROAD MARKET INDICES
DIVISLAB|Divi's Laboratories Limited|PHARMACEUTICALS|EQ|NIFTY 50|BROAD MARKET INDICES
LT|Larsen & Toubro Limited|ENGINEERING|EQ|NIFTY 50|BROAD MARKET INDICES
POWERGRID|Power Grid Corporation of India Limited|POWER|EQ|NIFTY 50|BROAD MARKET INDICES
BPCL|Bharat Petroleum Corporation Limited|REFINERIES|EQ|NIFTY 50|BROAD MARKET INDICES
NESTLEIND|Nestle India Limited|FOOD AND FOOD PROCESSING|EQ|NIFTY 50|BROAD MARKET INDICES
SBILIFE|SBI Life Insurance Company Limited||EQ|NIFTY 50|BROAD MARKET INDICES
ITC|ITC Limited|CIGARETTES|EQ|NIFTY 50|BROAD MARKET INDICES
HINDALCO|Hindalco Industries Limited|ALUMINIUM|EQ|NIFTY 50|BROAD MARKET INDICES
WIPRO|Wipro Limited|COMPUTERS - SOFTWARE|EQ|NIFTY 50|BROAD MARKET INDICES
SHRIRAMFIN|Shriram Finance Limited||EQ|NIFTY 50|BROAD MARKET INDICES
JSWSTEEL|JSW Steel Limited|STEEL AND STEEL PRODUCTS|EQ|NIFTY 50|BROAD MARKET INDICES
EICHERMOT|Eicher Motors Limited|AUTOMOBILES - 4 WHEELERS|EQ|NIFTY 50|BROAD MARKET INDICES
SUNPHARMA|Sun Pharmaceutical Industries Limited|PHARMACEUTICALS|EQ|NIFTY 50|BROAD MARKET INDICES
GRASIM|Grasim Industries Limited|CEMENT AND CEMENT PRODUCTS|EQ|NIFTY 50|BROAD MARKET INDICES
KOTAKBANK|Kotak Mahindra Bank Limited|BANKS|EQ|NIFTY 50|BROAD MARKET INDICES
HDFCLIFE|HDFC Life Insurance Company Limited||EQ|NIFTY 50|BROAD MARKET INDICES
BHARTIARTL|Bharti Airtel Limited|TELECOMMUNICATION - SERVICES|EQ|NIFTY 50|BROAD MARKET INDICES
DRREDDY|Dr. Reddy's Laboratories Limited|PHARMACEUTICALS|EQ|NIFTY 50|BROAD MARKET INDICES
COALINDIA|Coal India Limited|MINING|EQ|NIFTY 50|BROAD MARKET INDICES
BAJFINANCE|Bajaj Finance Limited|FINANCE|EQ|NIFTY 50|BROAD MARKET INDICES
AXISBANK|Axis Bank Limited|BANKS|EQ|NIFTY 50|BROAD MARKET INDICES
ASIANPAINT|Asian Paints Limited|PAINTS|EQ|NIFTY 50|BROAD MARKET INDICES
MARUTI|Maruti Suzuki India Limited|AUTOMOBILES - 4 WHEELERS|EQ|NIFTY 50|BROAD MARKET INDICES
ADANIENT|Adani Enterprises Limited|TRADING|EQ|NIFTY 50|BROAD MARKET INDICES
TATACONSUM|TATA CONSUMER PRODUCTS LIMITED||EQ|NIFTY 50|BROAD MARKET INDICES
HEROMOTOCO|Hero MotoCorp Limited|AUTOMOBILES - 2 AND 3 WHEELERS|EQ|NIFTY 50|BROAD MARKET INDICES
ICICIBANK|ICICI Bank Limited|BANKS|EQ|NIFTY 50|BROAD MARKET INDICES
M&M|Mahindra & Mahindra Limited|AUTOMOBILES - 4 WHEELERS|EQ|NIFTY 50|BROAD MARKET INDICES
TECHM|Tech Mahindra Limited|COMPUTERS - SOFTWARE|EQ|NIFTY 50|BROAD MARKET INDICES
TCS|Tata Consultancy Services Limited|COMPUTERS - SOFTWARE|EQ|NIFTY 50|BROAD MARKET INDICES
ADANIPORTS|Adani Ports and Special Economic Zone Limited|SHIPPING|EQ|NIFTY 50|BROAD MARKET INDICES
HCLTECH|HCL Technologies Limited|COMPUTERS - SOFTWARE|EQ|NIFTY 50|BROAD MARKET INDICES
BAJAJFINSV|Bajaj Finserv Limited|FINANCE|EQ|NIFTY 50|BROAD MARKET INDICES
TATAMOTORS|Tata Motors Limited|AUTOMOBILES - 4 WHEELERS|EQ|NIFTY 50|BROAD MARKET INDICES
INFY|Infosys Limited|COMPUTERS - SOFTWARE|EQ|NIFTY 50|BROAD MARKET INDICES
ULTRACEMCO|UltraTech Cement Limited|CEMENT AND CEMENT PRODUCTS|EQ|NIFTY 50|BROAD MARKET INDICES
INDUSINDBK|IndusInd Bank Limited|BANKS|EQ|NIFTY 50|BROAD MARKET INDICES
TATASTEEL|TATA Steel Limited|STEEL AND STEEL PRODUCTS|EQ|NIFTY 50|BROAD MARKET INDICES
LTIM|LTIMindtree Limited||EQ|NIFTY 50|BROAD MARKET INDICES
TITAN|Titan Company Limited|GEMS JEWELLERY AND WATCHES|EQ|NIFTY 50|BROAD MARKET INDICES
HDFCBANK|HDFC Bank Limited|BANKS|EQ|NIFTY 50|BROAD MARKET INDICES
